date,hit_count,text_count
2015-04-24,1,1
2016-07-11,1,1
2016-08-02,1,1
2018-01-26,1,1
2018-03-27,1,1
2018-09-19,1,1
2018-10-09,1,1
2018-11-24,1,1
2018-12-14,1,1
2018-12-17,2,2
2019-03-04,1,1
2019-03-13,2,2
2019-05-03,2,2
2019-05-04,1,1
2019-05-08,1,1
2019-05-15,1,1
2019-05-18,1,1
2019-05-22,1,1
2019-05-23,1,1
2019-06-03,1,1
2019-06-05,2,2
2019-06-17,2,2
2019-06-22,2,2
2019-06-24,1,1
2019-06-26,1,1
2019-06-29,1,1
2019-07-03,1,1
2019-07-08,1,1
2019-07-12,1,1
2019-07-15,1,1
2019-07-19,1,1
2019-07-20,1,1
2019-07-22,1,1
2019-07-30,1,1
2019-08-03,1,1
2019-08-10,1,1
2019-08-15,1,1
2019-08-26,1,1
2019-08-31,1,1
2019-09-04,1,1
2019-09-06,1,1
2019-09-17,1,1
2019-09-19,1,1
2019-09-20,3,3
2019-09-21,3,3
2019-09-23,1,1
2019-09-26,1,1
2019-10-01,2,2
2019-10-07,1,1
2019-10-19,1,1
2019-10-24,1,1
2019-11-06,1,1
2019-11-08,1,1
2019-11-15,1,1
2019-11-21,3,3
2019-11-27,2,2
2019-11-28,1,1
2019-11-29,2,2
2019-12-02,1,1
2019-12-04,1,1
2019-12-07,1,1
2019-12-09,1,1
2019-12-10,2,2
2019-12-14,1,1
2019-12-16,1,1
2019-12-27,1,1
2020-01-22,1,1
2020-02-06,1,1
2020-02-08,1,1
2020-02-13,2,2
2020-02-14,1,1
2020-02-19,1,1
2020-02-20,1,1
2020-02-26,1,1
2020-03-06,2,2
2020-03-09,1,1
2020-03-17,1,1
2020-04-07,1,1
2020-04-24,1,1
2020-04-29,1,1
2020-05-14,1,1
2020-05-15,1,1
2020-05-18,1,1
2020-05-20,1,1
2020-05-29,1,1
2020-06-19,1,1
2020-07-29,1,1
2020-07-31,2,2
2020-08-07,1,1
2020-08-14,1,1
2020-08-21,2,2
2020-08-26,1,1
2020-09-11,1,1
2020-09-14,1,1
2020-09-17,1,1
2020-09-18,1,1
2020-09-23,1,1
2020-10-09,1,1
2020-10-16,1,1
2020-11-16,1,1
2020-11-28,1,1
2020-12-03,1,1
2021-01-14,3,3
2021-01-28,1,1
2021-01-30,1,1
2021-02-26,1,1
2021-03-02,1,1
2021-03-05,1,1
2021-03-08,2,2
2021-03-10,1,1
2021-03-27,1,1
2021-04-01,1,1
2021-04-07,1,1
2021-04-10,1,1
2021-04-12,1,1
2021-04-16,1,1
2021-04-19,1,1
2021-04-24,1,1
2021-05-03,1,1
2021-05-06,2,2
2021-05-10,1,1
2021-05-15,3,3
2021-05-17,1,1
2021-05-27,1,1
2021-06-02,1,1
2021-06-29,1,1
2021-07-03,1,1
2021-07-13,1,1
2021-07-16,1,1
2021-07-17,1,1
2021-07-22,1,1
2021-07-29,1,1
2021-07-30,1,1
2021-07-31,2,2
2021-08-06,1,1
2021-08-07,1,1
2021-08-12,1,1
2021-08-26,1,1
2021-08-28,1,1
2021-09-02,1,1
2021-09-09,1,1
2021-09-10,1,1
2021-09-13,1,1
2021-09-15,1,1
2021-09-17,1,1
2021-09-18,2,2
2021-09-24,2,2
2021-09-27,2,2
2021-10-01,1,1
2021-10-06,2,2
2021-10-15,1,1
2021-10-16,1,1
2021-10-23,1,1
2021-10-27,1,1
2021-10-28,1,1
2021-11-04,1,1
2021-11-06,1,1
2021-11-12,1,1
2021-11-22,1,1
2021-12-31,1,1
2022-01-04,1,1
2022-01-12,1,1
2022-01-19,1,1
2022-01-28,1,1
2022-02-12,1,1
2022-02-22,1,1
2022-03-10,1,1
2022-03-12,1,1
2022-03-25,1,1
2022-04-02,1,1
2022-04-13,1,1
2022-04-29,1,1
2022-04-30,1,1
2022-05-11,1,1
2022-05-12,1,1
2022-05-24,1,1
2022-06-04,1,1
2022-06-11,1,1
2022-07-15,2,2
2022-07-16,2,2
2022-07-19,1,1
2022-07-28,1,1
2022-08-03,1,1
2022-08-20,1,1
2022-08-25,1,1
2022-08-26,1,1
2022-09-01,1,1
2022-09-03,1,1
2022-09-09,1,1
2022-09-22,1,1
2022-09-23,1,1
2022-09-24,1,1
2022-09-26,1,1
2022-10-05,1,1
2022-10-15,1,1
2022-10-17,1,1
2022-10-26,1,1
2022-10-27,1,1
2022-10-28,1,1
2022-11-07,1,1
2022-11-08,1,1
2022-11-10,1,1
2022-11-12,1,1
2022-11-19,1,1
2022-11-22,1,1
2022-11-24,1,1
2022-11-26,1,1
2022-12-05,1,1
2022-12-10,1,1
2022-12-17,1,1
2022-12-21,1,1
2022-12-23,1,1
