date,hit_count,text_count
2014-04-07,1,1
2014-12-03,1,1
2015-02-17,1,1
2015-02-24,1,1
2015-03-09,1,1
2015-10-01,1,1
2015-11-30,1,1
2015-12-08,1,1
2015-12-14,1,1
2016-01-16,1,1
2017-02-27,1,1
2017-09-08,1,1
2017-09-20,2,2
2017-11-06,1,1
2018-02-27,1,1
2018-05-26,1,1
2018-07-31,1,1
2018-10-26,1,1
2018-12-08,1,1
2019-02-12,1,1
2019-02-13,1,1
2019-02-20,1,1
2019-02-26,1,1
2019-03-04,1,1
2019-03-30,1,1
2019-04-01,1,1
2019-04-23,1,1
2019-04-24,1,1
2019-05-04,1,1
2019-05-29,2,2
2019-05-31,1,1
2019-06-07,2,2
2019-06-12,2,2
2019-06-17,1,1
2019-06-21,1,1
2019-06-22,1,1
2019-06-24,1,1
2019-06-25,1,1
2019-06-28,1,1
2019-06-29,1,1
2019-07-04,1,1
2019-07-29,1,1
2019-07-30,1,1
2019-07-31,1,1
2019-08-01,1,1
2019-08-03,2,2
2019-08-12,1,1
2019-08-14,1,1
2019-08-15,1,1
2019-08-19,1,1
2019-08-24,1,1
2019-08-31,1,1
2019-09-03,2,2
2019-09-04,1,1
2019-09-10,1,1
2019-09-16,1,1
2019-09-18,1,1
2019-09-19,1,1
2019-09-20,1,1
2019-09-21,2,2
2019-09-24,1,1
2019-09-25,1,1
2019-09-26,1,1
2019-10-07,2,2
2019-10-10,1,1
2019-10-22,1,1
2019-11-11,1,1
2019-11-14,1,1
2019-11-21,1,1
2019-11-27,2,2
2019-11-30,1,1
2019-12-05,1,1
2019-12-21,1,1
2019-12-27,2,2
2020-01-03,1,1
2020-01-06,1,1
2020-01-11,1,1
2020-01-16,1,1
2020-01-20,1,1
2020-01-22,1,1
2020-01-25,1,1
2020-01-27,1,1
2020-02-01,1,1
2020-02-15,1,1
2020-02-19,1,1
2020-02-21,1,1
2020-02-25,1,1
2020-02-26,1,1
2020-02-28,2,2
2020-03-03,2,2
2020-03-09,1,1
2020-03-25,1,1
2020-03-31,1,1
2020-04-27,1,1
2020-04-28,2,2
2020-04-29,1,1
2020-05-12,1,1
2020-05-19,1,1
2020-05-29,1,1
2020-06-02,1,1
2020-06-04,2,2
2020-06-10,1,1
2020-07-04,1,1
2020-08-11,1,1
2020-08-14,1,1
2020-09-16,1,1
2020-09-25,1,1
2020-09-30,1,1
2020-11-03,4,4
2021-01-04,1,1
2021-01-19,1,1
2021-01-25,1,1
2021-02-01,1,1
2021-02-02,1,1
2021-02-20,1,1
2021-03-02,1,1
2021-03-09,1,1
2021-03-10,1,1
2021-03-22,1,1
2021-03-25,1,1
2021-03-30,1,1
2021-03-31,1,1
2021-04-07,1,1
2021-04-19,1,1
2021-04-27,1,1
2021-05-05,1,1
2021-05-17,1,1
2021-06-07,1,1
2021-06-15,1,1
2021-07-01,1,1
2021-07-08,1,1
2021-07-12,1,1
2021-08-12,1,1
2021-08-14,3,3
2021-08-16,2,2
2021-09-03,2,2
2021-09-08,1,1
2021-09-10,2,2
2021-09-16,1,1
2021-09-22,1,1
2021-09-24,1,1
2021-11-03,1,1
2021-11-05,2,2
2021-11-06,1,1
2022-02-10,1,1
2022-02-15,1,1
2022-02-16,2,2
2022-02-24,1,1
2022-03-01,1,1
2022-03-10,1,1
2022-03-19,1,1
2022-03-22,1,1
2022-03-23,1,1
2022-03-24,2,2
2022-03-26,2,2
2022-03-28,1,1
2022-04-01,1,1
2022-04-05,1,1
2022-04-13,1,1
2022-05-16,1,1
2022-05-19,1,1
2022-05-20,1,1
2022-05-24,1,1
2022-05-31,1,1
2022-06-02,1,1
2022-06-08,1,1
2022-06-20,2,2
2022-06-21,1,1
2022-06-22,1,1
2022-06-27,1,1
2022-06-28,1,1
2022-06-30,1,1
2022-07-02,2,2
2022-07-07,1,1
2022-07-12,1,1
2022-07-13,2,2
2022-07-16,1,1
2022-07-19,1,1
2022-07-20,1,1
2022-07-21,1,1
2022-07-22,1,1
2022-07-29,1,1
2022-08-04,2,2
2022-08-08,1,1
2022-08-18,1,1
2022-08-19,1,1
2022-08-31,1,1
2022-09-01,1,1
2022-09-10,1,1
2022-09-21,1,1
2022-09-24,1,1
2022-09-26,1,1
2022-10-04,1,1
2022-10-07,1,1
2022-10-12,2,2
2022-10-14,1,1
2022-10-17,1,1
2022-10-19,1,1
2022-10-20,1,1
2022-10-21,1,1
2022-10-22,1,1
2022-10-28,2,2
2022-11-04,1,1
2022-11-07,1,1
2022-11-12,3,3
2022-11-15,1,1
2022-11-18,3,3
2022-11-19,1,1
2022-11-21,3,3
2022-11-22,1,1
2022-11-24,1,1
2022-11-25,1,1
2022-12-14,1,1
2022-12-15,2,2
2022-12-20,1,1
2022-12-21,1,1
2022-12-24,1,1
2022-12-31,1,1
