date,hit_count,text_count
2007-07-05,1,1
2007-08-17,1,1
2007-08-25,1,1
2007-09-05,1,1
2007-10-05,1,1
2007-10-09,1,1
2007-10-12,1,1
2007-10-29,3,3
2007-11-06,2,2
2007-11-17,1,1
2007-11-19,1,1
2007-12-04,1,1
2007-12-06,2,2
2007-12-15,1,1
2007-12-19,1,1
2008-01-11,1,1
2008-01-17,1,1
2008-01-24,1,1
2008-03-12,1,1
2008-03-27,2,2
2008-04-10,1,1
2008-04-23,1,1
2008-04-25,1,1
2008-05-07,1,1
2008-05-08,1,1
2008-05-21,1,1
2008-05-24,1,1
2008-06-07,1,1
2008-06-13,1,1
2008-06-24,1,1
2008-06-27,1,1
2008-06-30,1,1
2008-07-07,2,2
2008-07-17,1,1
2008-07-19,1,1
2008-08-06,1,1
2008-08-14,1,1
2008-08-22,1,1
2008-09-01,1,1
2008-09-30,1,1
2008-10-21,1,1
2008-11-15,1,1
2008-11-25,1,1
2009-01-08,1,1
2009-01-15,1,1
2009-01-22,1,1
2009-02-10,1,1
2009-02-18,1,1
2009-02-27,1,1
2009-05-18,1,1
2009-07-01,1,1
2009-08-06,1,1
2009-08-14,1,1
2009-09-01,1,1
2009-09-19,1,1
2009-11-17,1,1
2009-11-28,1,1
2009-12-01,1,1
2009-12-05,1,1
2009-12-16,2,2
2010-01-23,1,1
2010-04-24,1,1
2010-06-03,1,1
2010-07-31,1,1
2010-09-11,2,2
2010-10-23,1,1
2010-11-16,1,1
2010-12-20,1,1
2011-01-12,1,1
2011-01-26,1,1
2011-03-09,1,1
2011-04-01,1,1
2011-06-04,1,1
2011-08-11,1,1
2011-10-12,1,1
2011-12-09,1,1
2011-12-24,1,1
2012-04-13,1,1
2012-04-20,1,1
2012-05-16,1,1
2012-05-30,1,1
2012-07-03,1,1
2012-09-20,1,1
2012-10-08,1,1
2012-10-09,1,1
2012-11-27,2,2
2013-02-07,1,1
2013-02-16,1,1
2013-02-22,2,2
2013-03-15,1,1
2013-04-10,1,1
2013-05-15,1,1
2013-06-20,1,1
2013-07-04,1,1
2013-07-06,1,1
2013-08-21,1,1
2014-01-16,1,1
2014-03-07,1,1
2014-03-27,1,1
2014-05-07,1,1
2014-06-06,1,1
2014-06-12,1,1
2014-09-20,1,1
2014-09-24,1,1
2014-09-25,1,1
2014-10-10,1,1
2014-10-17,1,1
2015-02-05,1,1
2015-05-04,1,1
2016-04-27,1,1
2016-04-30,1,1
2016-06-20,1,1
2016-07-23,1,1
2016-08-10,1,1
2016-12-01,1,1
2016-12-19,1,1
2016-12-28,1,1
2017-01-07,1,1
2017-03-30,1,1
2017-05-23,1,1
2017-05-24,1,1
2017-08-14,1,1
2017-09-16,1,1
2017-11-11,1,1
2017-11-17,1,1
2018-05-17,1,1
2018-06-15,1,1
2018-07-21,1,1
2018-08-07,1,1
2018-09-19,1,1
2018-12-11,1,1
2018-12-14,1,1
2018-12-19,1,1
2019-01-11,1,1
2019-01-19,1,1
2019-01-23,2,2
2019-01-26,1,1
2019-01-29,1,1
2019-03-05,1,1
2019-03-26,1,1
2019-04-04,1,1
2019-04-16,1,1
2019-05-08,1,1
2019-05-25,1,1
2019-06-14,1,1
2019-06-18,1,1
2019-06-19,1,1
2019-07-16,1,1
2019-07-31,1,1
2019-08-22,1,1
2019-08-29,1,1
2019-09-06,1,1
2019-09-13,1,1
2019-10-09,2,2
2019-10-19,1,1
2019-10-23,1,1
2019-11-07,1,1
2019-11-13,1,1
2019-11-15,1,1
2019-12-06,2,2
2019-12-09,1,1
2019-12-11,1,1
2019-12-27,1,1
2020-01-11,1,1
2020-01-16,1,1
2020-01-18,1,1
2020-01-25,1,1
2020-01-29,1,1
2020-01-30,1,1
2020-02-03,1,1
2020-02-21,1,1
2020-03-06,1,1
2020-03-14,1,1
2020-03-16,1,1
2020-03-17,1,1
2020-04-04,1,1
2020-04-27,1,1
2020-05-26,2,2
2020-06-25,1,1
2020-09-12,1,1
2020-10-14,1,1
2020-10-24,1,1
2020-11-16,1,1
2020-12-03,1,1
2020-12-18,1,1
2020-12-19,1,1
2021-01-02,1,1
2021-01-27,1,1
2021-02-06,1,1
2021-02-09,1,1
2021-02-24,1,1
2021-03-02,1,1
2021-03-20,1,1
2021-03-23,1,1
2021-04-06,1,1
2021-04-08,1,1
2021-04-27,1,1
2021-05-03,1,1
2021-05-06,1,1
2021-06-19,1,1
2021-06-26,3,3
2021-07-03,1,1
2021-07-05,1,1
2021-07-06,1,1
2021-07-12,1,1
2021-07-14,2,2
2021-07-28,1,1
2021-07-30,1,1
2021-08-07,1,1
2021-08-10,1,1
2021-08-13,1,1
2021-08-16,2,2
2021-09-11,1,1
2021-09-16,1,1
2021-09-17,1,1
2021-09-28,1,1
2021-10-05,1,1
2021-10-08,1,1
2021-10-14,1,1
2021-10-16,1,1
2021-10-26,1,1
2021-10-30,1,1
2021-11-05,1,1
2021-11-06,1,1
2021-11-11,2,2
2021-11-17,1,1
2021-11-24,1,1
2021-12-08,1,1
2021-12-31,1,1
2022-01-05,1,1
2022-01-11,1,1
2022-01-14,1,1
2022-02-03,1,1
2022-02-14,1,1
2022-03-02,1,1
2022-03-11,1,1
2022-03-25,1,1
2022-04-02,2,2
2022-04-13,1,1
2022-04-29,2,2
2022-05-04,1,1
2022-05-12,2,2
2022-05-14,1,1
2022-05-18,1,1
2022-05-19,1,1
2022-05-21,1,1
2022-05-23,1,1
2022-05-31,1,1
2022-06-01,1,1
2022-06-07,1,1
2022-06-09,2,2
2022-06-14,1,1
2022-06-23,1,1
2022-06-28,2,2
2022-06-29,1,1
2022-07-02,2,2
2022-07-08,1,1
2022-07-14,1,1
2022-07-19,1,1
2022-07-20,3,3
2022-07-27,1,1
2022-07-28,1,1
2022-08-02,1,1
2022-08-09,1,1
2022-08-12,1,1
2022-08-13,1,1
2022-08-26,1,1
2022-08-27,1,1
2022-08-29,4,4
2022-08-30,2,2
2022-09-03,1,1
2022-09-13,1,1
2022-09-16,1,1
2022-09-19,1,1
2022-09-24,2,2
2022-09-30,1,1
2022-10-14,2,2
2022-10-17,1,1
2022-11-04,1,1
2022-11-11,1,1
2022-11-17,1,1
2022-12-05,1,1
2022-12-12,1,1
2022-12-19,1,1
2022-12-21,2,2
2022-12-28,1,1
