date,hit_count,text_count
2014-01-23,1,1
2014-01-29,1,1
2014-02-24,1,1
2014-02-27,1,1
2014-03-15,1,1
2014-03-21,1,1
2014-04-03,1,1
2014-05-31,1,1
2014-06-13,1,1
2014-07-26,1,1
2014-08-18,1,1
2014-09-04,1,1
2015-01-06,1,1
2015-02-12,1,1
2015-02-21,1,1
2015-06-18,1,1
2015-07-02,1,1
2015-08-05,1,1
2015-10-16,1,1
2015-11-23,1,1
2015-12-02,1,1
2015-12-11,1,1
2015-12-14,3,3
2016-01-26,1,1
2016-01-29,1,1
2016-02-27,1,1
2016-04-20,1,1
2016-05-03,1,1
2016-05-18,1,1
2016-08-13,1,1
2016-11-19,1,1
2016-12-09,1,1
2017-01-17,1,1
2017-02-06,1,1
2017-02-22,1,1
2017-04-26,1,1
2017-05-17,1,1
2017-06-17,2,2
2017-07-11,1,1
2017-09-08,1,1
2017-10-24,1,1
2018-02-06,1,1
2018-02-27,1,1
2018-05-05,1,1
2018-05-17,1,1
2018-05-26,1,1
2018-06-21,1,1
2018-06-22,1,1
2018-08-10,1,1
2018-08-25,1,1
2018-08-30,1,1
2018-09-14,1,1
2018-09-27,1,1
2018-09-29,1,1
2018-10-08,1,1
2018-10-09,1,1
2019-01-07,1,1
2019-01-22,3,3
2019-01-23,1,1
2019-01-24,1,1
2019-01-25,1,1
2019-01-28,2,2
2019-01-29,1,1
2019-02-07,1,1
2019-02-22,1,1
2019-03-02,1,1
2019-03-09,1,1
2019-03-26,1,1
2019-03-27,1,1
2019-04-24,1,1
2019-05-07,1,1
2019-05-16,1,1
2019-06-24,2,2
2019-06-26,1,1
2019-06-29,1,1
2019-07-05,1,1
2019-07-11,1,1
2019-08-14,1,1
2019-08-29,2,2
2019-09-18,2,2
2019-10-09,1,1
2019-10-18,1,1
2019-11-13,1,1
2019-11-14,1,1
2019-11-19,1,1
2019-12-02,1,1
2019-12-06,1,1
2019-12-07,1,1
2019-12-27,2,2
2019-12-31,1,1
2020-01-11,1,1
2020-01-30,1,1
2020-02-13,1,1
2020-02-15,1,1
2020-02-29,1,1
2020-03-07,1,1
2020-05-26,1,1
2020-06-02,1,1
2020-06-05,1,1
2020-06-25,1,1
2020-06-27,1,1
2020-07-01,2,2
2020-07-18,1,1
2020-07-20,1,1
2020-08-07,1,1
2020-10-23,1,1
2020-11-24,1,1
2021-03-02,1,1
2021-03-10,1,1
2021-03-11,1,1
2021-03-13,1,1
2021-03-20,2,2
2021-04-27,1,1
2021-04-30,1,1
2021-05-06,1,1
2021-05-14,1,1
2021-06-05,1,1
2021-06-08,1,1
2021-06-12,1,1
2021-06-22,1,1
2021-07-13,1,1
2021-07-14,1,1
2021-07-24,1,1
2021-08-06,1,1
2021-08-10,1,1
2021-08-18,1,1
2021-08-21,1,1
2021-08-24,1,1
2021-08-25,1,1
2021-09-14,1,1
2021-09-18,9,9
2021-09-28,1,1
2021-09-29,1,1
2021-10-07,1,1
2021-10-12,1,1
2021-10-13,2,2
2021-10-19,1,1
2021-10-22,1,1
2021-10-26,2,2
2021-10-30,2,2
2021-11-03,2,2
2021-11-05,1,1
2021-11-24,1,1
2021-11-25,1,1
2021-12-21,1,1
2022-01-03,1,1
2022-01-07,1,1
2022-01-08,1,1
2022-01-12,1,1
2022-02-07,1,1
2022-02-08,1,1
2022-02-16,1,1
2022-02-19,1,1
2022-02-28,1,1
2022-03-01,1,1
2022-03-08,1,1
2022-03-12,2,2
2022-03-17,1,1
2022-03-22,1,1
2022-03-25,2,2
2022-04-02,1,1
2022-04-09,1,1
2022-04-29,1,1
2022-05-14,1,1
2022-05-18,1,1
2022-05-19,1,1
2022-05-20,1,1
2022-05-25,1,1
2022-06-03,1,1
2022-06-14,1,1
2022-06-23,1,1
2022-06-24,1,1
2022-06-25,1,1
2022-06-27,2,2
2022-06-30,1,1
2022-07-06,1,1
2022-07-08,1,1
2022-07-14,2,2
2022-07-15,1,1
2022-07-18,1,1
2022-07-19,2,2
2022-07-20,1,1
2022-07-25,1,1
2022-07-27,2,2
2022-08-05,1,1
2022-08-12,1,1
2022-08-20,1,1
2022-08-27,1,1
2022-08-29,1,1
2022-08-30,1,1
2022-09-06,1,1
2022-09-10,1,1
2022-09-12,1,1
2022-09-16,1,1
2022-09-21,1,1
2022-09-23,1,1
2022-09-24,1,1
2022-10-01,1,1
2022-10-11,1,1
2022-10-13,1,1
2022-10-14,1,1
2022-10-15,1,1
2022-10-21,1,1
2022-10-24,1,1
2022-11-05,2,2
2022-11-07,1,1
2022-11-10,2,2
2022-11-14,1,1
2022-11-15,1,1
2022-11-18,1,1
2022-11-23,1,1
2022-12-01,1,1
2022-12-05,1,1
2022-12-06,1,1
2022-12-09,1,1
2022-12-10,2,2
2022-12-21,1,1
