QUARTAL;Titelnummer;IVW_Nummer;ZIS_PZN;Titelbezeichnung;Titelzusatz;Ort;Verlagsnummer;Preislisten;Erscheinungsweise;Kennzeichen_Statistik;Verbreitung;Verkauf;Druckauflage_gesamt;Abo_gesamt;davon_Mehrf_25;davon_Mitglieder;EV_Lieferung;Remittenden;Sonst_Verkauf;Lesezirkel;Bordexemplare;Freistücke_gesamt;davon_ausgelegt;Zahl_Auslege_Stellen;Reste_Belege;Sonder_Hinweis;Verbreitung_Ausland;Verkauf_Ausland;Druckauflage_gesamt_A;Abo_gesamt_A;davon_Mehrf_25_A;davon_Mitglieder_A;EV_Lieferung_A;Remittenden_A;Sonst_Verkauf_A;Lesezirkel_A;Bordexemplare_A;Freistücke_Gesamt_A;davon_ausgelegt_A;Zahl_Auslege_Stellen_A;Reste_Belege_A;Sachgruppe;KdZ_VerkWeitKunden_Gesamt;KdZ_VerkWeitKunden_Ausland;HB_Bindeauflage_CDROM;HB_VerkAuflage_CDROM;HB_FreiGesamt_CDROM;HB_Reste_CDROM;TKV_Verbreitung_gesamt;TKV_Verbreitung_CDROM;TKV_zur_Abholung_geliefert;TKV_zur_Abholung_geliefert_CD;TKV_Direktvertr_gesamt;TKV_Direktvertr_CDROM;Erschienen;VertriebAbgeschlossen;Supplement_Gesamtverkauf;Supplement_sonstVerbreitung;Korrektur_KZ;enthaelt_ePaper;enthaelt_Pocket;enthalten_in;Korrektur_Datum
20223;982;0200-01033;102306;Handwerkswirtschaft;;Aachen;1252;;mtl;11;17991;17643;18500;17293;0;17278;0;0;350;0;0;348;0;0;509;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;;
20223;985;0246-00000;102042;FUNKE Medien NRW Werdener Nachrichten;;Essen;6879;;woe;11;2018;1929;2779;1382;0;0;956;410;1;0;0;89;0;0;351;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;;
20223;10886;0339-00101;102322;der Freitag;davon ePaper;Berlin;6569;;woe;12;6014;5215;6014;3411;0;0;32;0;1772;0;0;799;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;709;
20223;709;0339-00101;102322;der Freitag;;Berlin;6569;;woe;11;28085;26566;27777;19540;0;0;7100;5067;4993;0;0;1519;0;0;639;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;10886;;;
20223;9609;0343-00101;100505;Die Zeit;davon ePaper;Hamburg;931;;woe;12;281254;281254;281254;211422;0;0;312;0;69340;0;180;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;967;
20223;967;0343-00101;100505;Die Zeit;;Hamburg;931;;woe;11;635372;621365;444354;470887;0;0;136684;78718;90822;0;1690;14007;0;0;11518;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;9609;;;
20223;9566;0373-00101;102781;Frankfurter Allgemeine Sonntagszeitung;davon ePaper;Frankfurt/Main;832;;So;12;60940;60940;60940;46319;0;0;584;0;13175;0;862;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;5600;
20223;5600;0373-00101;102781;Frankfurter Allgemeine Sonntagszeitung;;Frankfurt/Main;832;;So;11;198265;191317;189462;134260;0;0;81397;52021;16603;0;11078;6948;0;0;116;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;9566;;;
20223;11380;0373-00102;101784;Frankfurter Allgemeine Sonntagszeitung;davon ePaper;Frankfurt/Main;832;;So;10;12948;12948;12948;8741;0;0;0;0;4207;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;8345;
20223;8345;0373-00102;101784;Frankfurter Allgemeine Sonntagszeitung;Regional Rhein-Main (RMM);Frankfurt/Main;832;;So;10;56379;54928;47978;40260;0;0;8587;4537;5005;0;5613;1451;0;0;10;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;11380;;;
20223;8020;0383-00101;104407;JUNGE FREIHEIT;;Berlin;4834;;woe;11;28186;27258;27522;18218;0;0;6719;3973;6294;0;0;928;0;0;469;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;9288;;;
20223;9288;0383-00101;104407;JUNGE FREIHEIT;davon ePaper;Berlin;4834;;woe;12;5106;5106;5106;1421;0;0;69;0;3616;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;8020;
20223;1134;0585-00101;102323;Altbayerische Heimatpost;;Trostberg;1210;;woe;11;7747;7736;9042;6888;0;0;1705;908;51;0;0;11;0;0;387;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;;
20223;977;0811-00101;102325;Das Parlament;;Frankfurt;7146;;woe;11;48429;13451;51529;6079;0;0;2910;2172;2984;0;3650;34978;0;0;928;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;;
20223;968;0875-00101;103001;Deutsche Handwerks Zeitung Gesamt;;Bad Wörishofen;933;;21 x jähr;11;504854;503448;505590;498341;0;497747;0;0;5107;0;0;1406;0;0;736;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;;
20223;2074;0875-00119;102329;Deutsche Handwerks-Zeitung Ausg. Ffm;;Bad Wörishofen;933;;21 x jähr;10;32920;32798;32949;32420;0;32381;0;0;378;0;0;122;0;0;29;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;;
20223;2075;0875-00121;102330;Deutsche Handwerks-Zeitung Ausg. Freibg;;Bad Wörishofen;933;;21 x jähr;10;15690;15660;15719;15304;0;15298;0;0;356;0;0;30;0;0;29;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;;
20223;2076;0875-00125;102331;Deutsche Handwerks-Zeitung Ausg. Heilbr;;Bad Wörishofen;933;;21 x jähr;10;11591;11524;11620;11439;0;11427;0;0;85;0;0;67;0;0;29;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;;
20223;2077;0875-00127;102332;Deutsche Handwerks-Zeitung Ausg. Karlsr;;Bad Wörishofen;933;;21 x jähr;10;19977;19925;20005;19757;0;19745;0;0;168;0;0;52;0;0;28;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;;
20223;2078;0875-00129;102333;Deutsche Handwerks-Zeitung Ausg. Kassel;;Bad Wörishofen;933;;21 x jähr;10;17675;17604;17700;17313;0;17285;0;0;291;0;0;71;0;0;25;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;;
20223;2079;0875-00131;102334;Deutsche Handwerks-Zeitung Ausg. Konsta;;Bad Wörishofen;933;;21 x jähr;10;13165;13148;13186;12955;0;12942;0;0;193;0;0;17;0;0;21;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;;
20223;2081;0875-00133;102335;Deutsche Handwerks-Zeitung Ausg. Mannh;;Bad Wörishofen;933;;21 x jähr;10;13912;13881;13939;13566;0;13555;0;0;315;0;0;31;0;0;27;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;;
20223;2080;0875-00135;102336;Deutsche Handwerks-Zeitung Ausg. Mi-Fra;;Bad Wörishofen;933;;21 x jähr;10;22617;22579;22667;22426;0;22407;0;0;153;0;0;38;0;0;50;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;;
20223;2082;0875-00137;102337;Deutsche Handwerks-Zeitung Ausg.N-Bay/Opf;;Bad Wörishofen;933;;21 x jähr;10;41178;41150;41207;40668;0;40642;0;0;482;0;0;28;0;0;29;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;;
20223;2083;0875-00139;102338;Deutsche Handwerks-Zeitung Ausg. Ob-Bay;;Bad Wörishofen;933;;21 x jähr;10;75837;75729;75919;75412;0;75239;0;0;317;0;0;108;0;0;82;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;;
20223;2084;0875-00141;102339;Deutsche Handwerks-Zeitung Ausg. Ob-Fra;;Bad Wörishofen;933;;21 x jähr;10;16543;16472;16570;16295;0;16277;0;0;177;0;0;71;0;0;27;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;;
20223;2086;0875-00145;102340;Deutsche Handwerks-Zeitung Ausg. Reutl;;Bad Wörishofen;933;;21 x jähr;10;12608;12579;12635;12435;0;12425;0;0;144;0;0;29;0;0;27;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;;
20223;2093;0875-00147;102341;Deutsche Handwerks-Zeitung Ausg. Stuttgt;;Bad Wörishofen;933;;21 x jähr;10;25878;25824;25905;25531;0;25492;0;0;293;0;0;54;0;0;27;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;;
20223;2087;0875-00149;102342;Deutsche Handwerks-Zeitung Ausg. Schwab;;Bad Wörishofen;933;;21 x jähr;10;30302;30265;30340;30042;0;30005;0;0;223;0;0;37;0;0;38;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;;
20223;2088;0875-00151;102343;Deutsche Handwerks-Zeitung Ausg. Ulm;;Bad Wörishofen;933;;21 x jähr;10;19700;19662;19727;19660;0;19633;0;0;2;0;0;38;0;0;27;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;;
20223;2089;0875-00153;102344;Deutsche Handwerks-Zeitung Ausg. Un-Fra;;Bad Wörishofen;933;;21 x jähr;10;19815;19798;19845;19683;0;19633;0;0;115;0;0;17;0;0;30;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;;
20223;2090;0875-00155;102345;Deutsche Handwerks-Zeitung Ausg. Wiesb;;Bad Wörishofen;933;;21 x jähr;10;26895;26844;26922;26680;0;26663;0;0;164;0;0;51;0;0;27;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;;
20223;3139;0875-00162;102347;Deutsche Handwerks-Zeitung Ausg. Sa-Anh.;;Bad Wörishofen;933;;21 x jähr;10;14885;14678;14911;14498;0;14490;0;0;180;0;0;207;0;0;26;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;;
20223;12334;0875-00171;105609;Deutsche Handwerks-Zeitung Ausg. Chemnitz;;Bad Wörishofen;933;;21 x jähr;10;21909;21860;21935;21643;0;21635;0;0;217;0;0;49;0;0;26;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;;
20223;12335;0875-00172;105610;Deutsche Handwerks-Zeitung Ausg. Dresden;;Bad Wörishofen;933;;21 x jähr;10;21739;21576;21766;21033;0;21015;0;0;543;0;0;163;0;0;27;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;;
20223;12336;0875-00175;105611;Deutsche Handwerks-Zeitung Ausg. Erfurt;;Bad Wörishofen;933;;21 x jähr;10;14061;13969;14089;13848;0;13833;0;0;121;0;0;92;0;0;28;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;;
20223;12337;0875-00176;105612;Deutsche Handwerks-Zeitung Ausg. Ostthüringen/Gera;;Bad Wörishofen;933;;21 x jähr;10;9151;9119;9175;9015;0;9014;0;0;104;0;0;32;0;0;24;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;;
20223;12338;0875-00177;105613;Deutsche Handwerks-Zeitung Ausg. Südthüringen/Suhl;;Bad Wörishofen;933;;21 x jähr;10;6827;6800;6851;6715;0;6711;0;0;85;0;0;27;0;0;24;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;;
20223;9088;0975-00101;101147;VDI nachrichten;davon ePaper;Düsseldorf;143;;14-tgl;12;39667;39667;39667;39481;0;38887;0;0;186;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;965;
20223;965;0975-00101;101147;VDI nachrichten;;Düsseldorf;143;;14-tgl;11;126228;125647;86583;124785;0;119749;0;0;862;0;0;581;0;0;22;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;9088;;;
20223;183;0977-00202;102350;Katholische SonntagsZeitung;für das Bistum Augsburg (Regionalausgabe);Augsburg;697;;woe;10;13821;12556;14292;11899;0;0;283;84;458;0;0;1265;0;0;387;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;;
20223;1174;0977-00232;104646;Katholische SonntagsZeitung für Deutschland;(gesamt) incl. Neue Bildpost;Augsburg;697;;woe;11;25934;24134;27515;23356;0;0;401;116;493;0;0;1800;0;0;1465;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;;
20223;6142;0977-00250;102978;Katholische Sonntagszeitung;für das Bistum Regensburg (Regionalausgabe);Augsburg;697;;woe;10;7942;7732;8696;7717;0;0;18;3;0;0;0;210;0;0;751;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;;
20223;1326;0977-00260;102379;Die Tagespost - Katholische Wochenzeitung;für Politik, Gesellschaft und Kultur;Würzburg;1364;;Do;11;10670;10488;11060;10318;0;0;139;40;71;0;0;182;0;0;350;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;;
20223;128;0977-00300;103171;Sonntagsblatt-evang. Wochenzeit. f. Bayern;;München;1122;;woe;11;11568;11252;11756;9254;0;0;0;0;1998;0;0;316;0;0;348;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;12183;;;
20223;12183;0977-00300;103171;Sonntagsblatt-evang. Wochenzeit. f. Bayern;davon ePaper;München;1122;;woe;12;160;149;160;147;0;0;0;0;2;0;0;11;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;128;
20223;10222;0977-00400;103173;Mecklenburgische & Pommersche Kirchenzeitung;;Kiel;1013;;woe;11;3688;3530;3533;3359;0;0;0;0;171;0;0;158;0;0;27;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;11853;;;
20223;11853;0977-00400;103173;Mecklenburgische & Pommersche Kirchenzeitung;davon ePaper;Kiel;1013;;woe;12;182;182;182;104;0;0;0;0;78;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;10222;
20223;4529;0978-00402;102351;Care-Konkret;;Hannover;954;;woe;11;5885;4031;5153;3451;0;0;0;0;580;0;0;1854;0;0;89;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;11748;;;
20223;11748;0978-00402;102351;Care-Konkret;davon ePaper;Hannover;954;;woe;12;821;821;821;301;0;0;0;0;520;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;4529;
20223;11031;0979-00132;103194;Neues Ruhr-Wort;;Gelsenkirchen;7118;;woe;11;2318;2035;2406;1640;0;0;10;7;392;0;0;283;0;0;81;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;;
20223;10821;1000050000;105115;Score Media Group (Max.);davon ePaper;Düsseldorf;7086;;Mo-Fr;10;1252809;1196933;1252809;716398;0;0;917;0;479616;0;2;55876;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;10818;
20223;10818;1000050000;105115;Score Media Group (Max.);;Düsseldorf;7086;;Mo-Fr;10;8025167;7808497;7369828;6774667;0;0;730409;363607;644493;0;22535;216670;0;0;233863;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;10821;;;
20223;10822;1000050000;105115;Score Media Group (Max.);davon ePaper;Düsseldorf;7086;;Sa;10;1252504;1196805;1252504;716222;0;0;1434;0;479147;0;2;55699;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;10819;
20223;10819;1000050000;105115;Score Media Group (Max.);;Düsseldorf;7086;;Sa;10;8399581;8176314;7837735;6926337;0;0;1022685;450540;655335;0;22497;223267;0;0;240118;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;10822;;;
20223;10820;1000050000;105115;Score Media Group (Max.);davon ePaper;Düsseldorf;7086;;Mo-Sa;10;1252978;1197641;1252978;716022;0;0;988;0;480629;0;2;55337;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;10817;
20223;10817;1000050000;105115;Score Media Group (Max.);;Düsseldorf;7086;;Mo-Sa;10;8074907;7857514;7447953;6800218;0;0;778431;391034;647372;0;22527;217393;0;0;234990;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;10820;;;
20223;12168;1000070000;105511;REPUBLIC workday (F.A.Z. + SZ);davon ePaper;Berlin;7301;;Sa;10;169441;169441;169441;121388;0;0;353;0;46639;0;1061;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;12165;
20223;12165;1000070000;105511;REPUBLIC workday (F.A.Z. + SZ);;Berlin;7301;;Sa;10;587242;576607;545328;428633;0;0;204259;126330;54963;0;15082;10635;0;0;1197;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;12168;;;
20223;12166;1000070000;105511;REPUBLIC workday (F.A.Z. + SZ);davon ePaper;Berlin;7301;;Mo-Sa;10;160312;160312;160312;114118;0;0;251;0;45121;0;822;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;12163;
20223;12163;1000070000;105511;REPUBLIC workday (F.A.Z. + SZ);;Berlin;7301;;Mo-Sa;10;498331;487645;430128;372142;0;0;137323;90951;52719;0;16412;10686;0;0;1158;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;12166;;;
20223;12167;1000070000;105511;REPUBLIC workday (F.A.Z. + SZ);davon ePaper;Berlin;7301;;Mo-Fr;10;158504;158504;158504;112673;0;0;232;0;44824;0;775;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;12164;
20223;12164;1000070000;105511;REPUBLIC workday (F.A.Z. + SZ);;Berlin;7301;;Mo-Fr;10;480664;469970;407190;360890;0;0;124006;83879;52279;0;16674;10694;0;0;1151;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;12167;;;
20223;12171;1000075000;105512;REPUBLIC weekend (F.A.Z. + F.A.S. + SZ);;Berlin;7301;;Sa+So;10;785507;767924;734790;562893;0;0;285656;178351;71566;0;26160;17583;0;0;1313;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;12174;;;
20223;12172;1000075000;105512;REPUBLIC weekend (F.A.Z. + F.A.S. + SZ);davon ePaper;Berlin;7301;;Mo-Sa+So;10;221252;221252;221252;160437;0;0;835;0;58296;0;1684;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;12169;
20223;12169;1000075000;105512;REPUBLIC weekend (F.A.Z. + F.A.S. + SZ);;Berlin;7301;;Mo-Sa+So;10;696596;678962;619590;506402;0;0;218720;142972;69322;0;27490;17634;0;0;1274;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;12172;;;
20223;12173;1000075000;105512;REPUBLIC weekend (F.A.Z. + F.A.S. + SZ);davon ePaper;Berlin;7301;;Mo-Fr+So;10;219444;219444;219444;158992;0;0;816;0;57999;0;1637;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;12170;
20223;12170;1000075000;105512;REPUBLIC weekend (F.A.Z. + F.A.S. + SZ);;Berlin;7301;;Mo-Fr+So;10;678929;661287;596652;495150;0;0;205403;135900;68882;0;27752;17642;0;0;1267;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;12173;;;
20223;12174;1000075000;105512;REPUBLIC weekend (F.A.Z. + F.A.S. + SZ);davon ePaper;Berlin;7301;;Sa+So;10;230381;230381;230381;167707;0;0;937;0;59814;0;1923;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;12171;
20223;991;1003600000;100605;Aachener Zeitung/Aachener Nachrichten Gesamt;;Aachen;942;;Mo-Sa;11;80327;78999;78057;67696;0;0;8394;5431;8340;0;0;1328;0;0;3823;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;6975;;;
20223;6975;1003600000;100605;Aachener Zeitung/Aachener Nachrichten Gesamt;davon ePaper;Aachen;942;;Mo-Sa;12;11524;11524;11524;6405;0;0;0;0;5119;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;991;
20223;1618;1003611000;100402;Aachener Zeitung/Nachrichten Ausgabe A;;Aachen;942;;Mo-Sa;10;29993;29522;27479;24850;0;0;2791;1635;3516;0;0;471;0;0;1192;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;6976;;;
20223;6976;1003611000;100402;Aachener Zeitung/Nachrichten Ausgabe A;davon ePaper;Aachen;942;;Mo-Sa;10;5341;5341;5341;3021;0;0;0;0;2320;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;1618;
20223;6977;1003611200;101243;Aachener Zeitung/Nachrichten Ausgabe B;davon ePaper;Stolberg;942;;Mo-Sa;10;2573;2573;2573;1390;0;0;0;0;1183;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;1707;
20223;1707;1003611200;101243;Aachener Zeitung/Nachrichten Ausgabe B;;Stolberg;942;;Mo-Sa;10;18024;17695;17525;15133;0;0;1892;1273;1943;0;0;329;0;0;801;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;6977;;;
20223;10155;1003621000;101097;Aachener Zeitung/Nachrichten Ausgabe C;davon ePaper;Heinsberg;942;;Mo-Sa;10;1352;1352;1352;752;0;0;0;0;600;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;1524;
20223;1524;1003621000;101097;Aachener Zeitung/Nachrichten Ausgabe C;;Heinsberg;942;;Mo-Sa;10;12254;11999;12482;10486;0;0;1274;926;1165;0;0;255;0;0;654;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;10155;;;
20223;1446;1003631000;100107;Aachener Zeitung/Nachrichten Ausgabe D;;Düren;942;;Mo-Sa;10;13886;13696;14427;11882;0;0;1862;1200;1152;0;0;190;0;0;799;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;6978;;;
20223;6978;1003631000;100107;Aachener Zeitung/Nachrichten Ausgabe D;davon ePaper;Düren;942;;Mo-Sa;10;1458;1458;1458;818;0;0;0;0;640;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;1446;
20223;1542;1003631200;101746;Aachener Zeitung/Nachrichten Ausgabe E;;Jülich;942;;Mo-Sa;10;6170;6087;6144;5345;0;0;575;397;564;0;0;83;0;0;377;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;6979;;;
20223;6979;1003631200;101746;Aachener Zeitung/Nachrichten Ausgabe E;davon ePaper;Jülich;942;;Mo-Sa;10;800;800;800;424;0;0;0;0;376;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;1542;
