Datum,Ort (ausschließlich Dresden),Thema,Teilnehmer,sheet_name
2023-01-09,"Parkplatz Parksäle - Weißeritzstraße - Große Mühlstraße - Brauhofstraße - Obertorplatz
- B170 - Alte Altenberger Straße - Freiberger Straße -
Bahnhofstraße - Karl-Marx-Platz - Kirchplatz - Markt",Politische Irrwege und deren Folgen für die Bevölkerung ,600,2023
2023-01-09,"kleiner Wilhelm-Leuschner-Platz (Sammlung & Auftakt) - Petersstraße - Markt (ZwiKu) - Katharinenstraße - Brühl - Am Hallischen Tor - Richard-Wagner-Straße - kleiner Willy-Brandt-Platz (Zwiku) - Richard-Wagner-Straße - Goethestraße - Augustusplatz, Paulinum - Kurt-Masur-Platz - Schillerstraße - kleiner Wilhelm-Leuschner-Platz ","""Genug ist Genug - Schluss mit teuer! Preise runter, Löhne rauf!""",500,2023
2023-01-09,Zinzendorfplatz (Start) – S122 in Richtung Norden bis Höhe „Bürgerhaus“ – zurück entlang/auf der S122 in Richtung Süden bis Kreuzung Ullersdorfer Straße – zurück entlang/auf der S122 bis Zinzendorfplatz (Ziel),Gegen Schikane und politische Willkür der Regierung“,150,2023
2023-01-09,Kreuzung Pestalozzi-/Sidoninsttr. Hauptstraße-Meißner Str.-Schumann Str.-Pestalozistr.,"Energiepreise, Existenzbedrohung",500,2023
2023-01-09,Markt - n.b.,Montagsspaziergang,200,2023
2023-01-09,Markt - Leipziger Straße - Rapitzweg - Röhrweg - Strandbadweg - Straße des Friedens - Eilenburger Straße - Südring - Karl-Marx-Platz - Spitalstraße - Kurstraße - Bäckerstraße – Markt,Bezahlbare und sichere Energie statt irrsinnige Ideologie friedlich und vereint - Abendspaziergang,200,2023
2023-01-09,Lindenauer Markt,"Kundgebung ""Ihre Krise, nicht auf unserem Rücken!"" ",50,2023
2023-01-09,Markt,"Kein Geld und keine Waffen mehr für die Ukraine, Wirtschaftssanktion gegen Russland sofort beenden. Versorgungssicherheoit schaffen. Rücktritt der Rot-Grün Regierung. Grenzen schließen",50,2023
2023-01-09,"Markt, Jahnstraße, Herrmannstraße, Döbelner Ste., Brückenplatz,  Dresdner Straße, Markt","Wir sind nicht rechts, wir sind nicht links, wir sind die rote Linie",300,2023
2023-01-09,Gemeindeverwaltung-Hauptstraße-Weißes Ross-,Kinder schlägt man nicht,10,2023
2023-01-10,"südöstlicher Gehweg Wilhelm-Seyfferth-Straße, Ecke Wächterstraße",Antirassismus-Aktion zur Freilassung des politischen Gefangenen Leonard Peltier in den USA,10,2023
2023-01-11,Hauptmarkt,Energiepreise,1000,2023
2023-01-11,"Am Werk 1, Pirnaer Landstraße, Fritz Schreiter Straße, Kameradenweg, Höhe Hausnummer 9/10 – Zwischenkundgebung, Kameradenweg, Fritz Schreiter Straße, Pirnaer Landstraße, am Werk 1, ENDE","Es reicht, unser Volk zuerst ! NEIN zur Bevormundung des Staates – NEIN zum Containerdorf – Dresden Sporbitz !",300,2023
2023-01-11,Hauptmarkt,Wir müssen reden! - offener Diskurs,250,2023
2023-01-13,Oberlandkreuzung Südseite,"Kritik staatlicher Maßnahmen (Corona, Energiepolotik)",20,2023
2023-01-13,vor Petersstraße 14,Tierrechte und vegane Lebensweise,8,2023
2023-01-14,"Augustusplatz, Opernseite(Sammlung&Auftakt) - Grimmaische Straße - Reichsstraße - Brühl - (ZwiKu zwischen Katharinen- und Hainstraße) - Große Fleischergasse - oberer Dittrichring - Thomaskirchhof - Thomasgasse - Petersstraße - Schillerstraße - Neumarkt - Grimmaische Straße - Augustusplatz, Opernseite(Abschluss&Beendigung)",Für Frieden und eine freie Impfentscheidung für Alle,100,2023
2023-01-14,kleiner Willy-Brandt-Platz (Sammlung&Auftakt) - Nikolaistraße - Brühl - Katharinenstraße - Markt - Grimmaische Straße - Augustusplatz - Augustusplatz (Innenring) - Roßplatz (Innenring) - kleiner Wilhelm-Leuschner-Platz (Abschluss&Beendigung),"Lützerath lebt, RWE stoppen",400,2023
2023-01-15,Platz der dt. Einheit/ Denkmal Karl-Liebknecht und Rosa Luxemburg,"Gedenkrede, Kranzniederlegung",40,2023
2023-01-15,"an der B6 in Görlitz, zwischen Wiesbadener Straße und dem Abzweig Flugplatz (am Radweg)","Für Frieden, Freiheit, Grund- und Menschenrechte!",50,2023
2023-01-15,Bushaltestelle an der B 96,Stiller Protest gegen Coronamaßnahmen,100,2023
2023-01-16,Hauptmarkt-Marienplatz-Hauptmarkt,Grundrechte sind nicht Verhandelbar,300,2023
2023-01-16,Hauptmarkt,Wir müssen reden! - offener Diskurs,250,2023
2023-01-16," Markt-Bahnhofstraße-Karlsbader Straße(S272)-Badstraße-Markt, ","Licht im Schacht, statt Schicht im Schacht- Energiesicherheit für unser Erz",300,2023
2023-01-16,Markt - Seminarstraße - Scheunenstraße - Hartensteiner Straße - Auer Straße - Ritterstraße - Markt,"Licht im Schacht, statt Schicht im Schacht! Energiesicherheit für unser Erzgebirge!",200,2023
2023-01-16,Altmarkt-Lange Str-Rudolf-Breitscheid-Str-Lessingstr-Jahnstr-August-Bebel-Str-Goethestr-Zum altrn Badeplatz-Berthold-Brecht-Str-Goethestr-Rudolf-Breitscheid-Str-Langestr-Altmarkt-Langestr-Altmarkt,Lebenshaltungskosten müssen bezahlbar bleiben!,100,2023
2023-01-16,"Markt - Bautzner Straße - Breite Straße - Uferstraße - Fichtestraße - Hohe Straße - Oststraße -
Bahnhofstraße - Bönischplatz - Pulsnitzer Straße - Rosa-Luxemburg-Straße - Markt",Spaziergang Kamenz,800,2023
2023-01-16,Schauburg (Ottokarplatz) - Stadtring entgegen der Fahrtrichtung (auf Fußweg) - Ludwigstraße . Albertstraße - Reichenberger Straße - Rathausplatz - Markt,Diskussion über den Zustand der Gesellschaft und Aufruf zum gesellschaftlichem Zusammenhalt,400,2023
2023-01-16,"Augustusplatz, Gewandhausseite, Mendebrunnen (Sammlung & Auftakt) - Augustusplatz (Mittelfahrbahn) - Augustusplatz (Innenring) - Roßplatz (Innenring) - Martin-Luther-Ring (Innenring) - Dittrichring (Innenring) - Goerdelerring (Innenring) - Tröndlinring (Innenring) - Willy-Brandt-Platz (Innenring) - Goethestraße (Innenring) - Augustusplatz (Mittelfahrbahn) - Augustusplatz, Gewandhausseite, Mendebrunnen (Abschluss & Beendigung)","LEIPZIG STEHT AUF für Frieden, Freiheit und Demokratie! Sofort Nord Stream 2 öffnen!“",3000,2023
2023-01-16,"Augustusplatz, Gewandhausseite, Mendebrunnen (Sammlung & Auftakt) - Augustusplatz (Mittelfahrbahn) - Augustusplatz (Innenring) - Roßplatz (Innenring) - Martin-Luther-Ring (Innenring) - Dittrichring (Innenring) - Goerdelerring (Innenring) - Tröndlinring (Innenring) - Willy-Brandt-Platz (Innenring) - Goethestraße (Innenring) - Augustusplatz (Mittelfahrbahn) - Augustusplatz, Gewandhausseite, Mendebrunnen (Abschluss & Beendigung)","LEIPZIG STEHT AUF für Frieden, Freiheit und Demokratie! Sofort Nord Stream 2 öffnen!“",3000,2023
2023-01-16,"Augustusplatz, Gewandhausseite - Innenstadtring (Innenring) im Uhrzeigersinn - Goethestraße - Augustusplatz, Gewandhausseite ",Frieden und Freiheit für Alle,200,2023
2023-01-16,Markt - Unterer Kirchplatz - Große Kirchgasse - Lindenstr. - Wolkensteiner Straße,"Demokratie, Grundrechte und Freiheit",300,2023
2023-01-16,Marktplatz - Untere Hauptstrasse -Kammerad Beck Str. - Alte Staatsstraße - August- Bebel - Str.- Windbergstraße. - Unter Hauptstaraße. - Dr-Otto-Nuschke-Straße.-Untere Hauptstarße  - Markt,"Demo für Freiheit, Grundrechte und wahre Demokratie, Freies Mikrofon",500,2023
2023-01-16,Marktplatz - Schillerstraße - Lessingstraße - Markt,"Corona-Maßnahmen, Energiepolitik, Asylpolitik, Sanktionen gegen Russland, Frieden und Selbstbestimmung, steigende Inflation, Gasumlage, Treibbstoffpreise, Gesundheitswesen",150,2023
2023-01-16,Altmarkt – Rathaus – Göltzschtalstraße – Schloß – Altmarkt,"Frieden, Freiheit und Gerechtigkeit! Gegen die Energiekosten der Politik",500,2023
2023-01-16,Route um Zinsendorfplatz,Gegen Schikane und politische Willkür der Regierung,150,2023
2023-01-16,"Marktplatz, Dresdener Str., Lindenallee.
Radeberger Str.,Heinrich - Zille- Str.
Großenhainer Str., Großenhainer Platz,Carolinen Str.
Meißner Str. und wieder Marktplatz",Gegen die komplette Politik der Ampelregierung,600,2023
2023-01-16,"Augustusplatz, Opernseite, Demokratieglocke",Ihre Krise #NichtaufunseremRücken,25,2023
2023-01-16,Zinzendorfplatz (Start) – S122 in Richtung Norden bis Höhe „Bürgerhaus“ – zurück entlang/auf der S122 in Richtung Süden bis Kreuzung Ullersdorfer Straße – zurück entlang/auf der S122 bis Zinzendorfplatz (Ziel),Gegen Schikane und politische Willkür der Regierung“,150,2023
2023-01-16,Kreuzung Pestalozzi-/Sidoninsttr. Hauptstraße-Meißner Str.-Schumann Str.-Pestalozistr.,"Energiepreise, Existenzbedrohung",500,2023
2023-01-18,Platz vor dem Haupteingang des Neuen Rathauses ,„Übergabe des Faktenpapiers zum geplanten Ausbau des Frachtflughafens Leipzig / Halle an den Oberbürgermeister und die Ratsmitglieder der Stadt Leipzig,30,2023
2023-01-18,Hauptmarkt,Wir müssen reden! - offener Diskurs,250,2023
2023-01-20,Oberlandkreuzung Südseite,"Kritik staatlicher Maßnahmen (Corona, Energiepolotik)",20,2023
2023-01-21,"Augustusplatz, Gewandhausseite- Grimmaische Straße - Reichsstraße - Brühl - Katharinenstraße - Markt  - Petersstraße - Schillerstraße - Neumarkt - Grimmaische Straße - Augustusplatz, Gewandhausseite ",Für Frieden und eine freie Impfentscheidung für Alle,100,2023
2023-01-21,"Augustusplatz, Gewandhausseite- Grimmaische Straße - Reichsstraße - Brühl - Katharinenstraße - Markt  - Petersstraße - Schillerstraße - Neumarkt - Grimmaische Straße - Augustusplatz, Gewandhausseite ",Für Frieden und eine freie Impfentscheidung für Alle,100,2023
2023-01-22,"an der B6 in Görlitz, zwischen Wiesbadener Straße und dem Abzweig Flugplatz (am Radweg)","Für Frieden, Freiheit, Grund- und Menschenrechte!",50,2023
2023-01-22,Bushaltestelle an der B 96,Stiller Protest gegen Coronamaßnahmen,100,2023
2023-01-23,Hauptmarkt-Marienplatz-Hauptmarkt,Grundrechte sind nicht Verhandelbar,300,2023
2023-01-23,Hauptmarkt,Wir müssen reden! - offener Diskurs,250,2023
2023-01-23,Altmarkt-Lange Str-Rudolf-Breitscheid-Str-Waldkirchner Str-Am Gräbl-Mozartstr-Philip-Müller.Str.-Kurze Str-Auenstr-Breitscheid-Str-Langestr-Altmarkt-Langestr-Altmarkt,Zurück zur Politik für das eigenen Volk!,100,2023
2023-01-23,"Markt - Bautzner Straße - Breite Straße - Uferstraße - Fichtestraße - Hohe Straße - Oststraße -
Bahnhofstraße - Bönischplatz - Pulsnitzer Straße - Rosa-Luxemburg-Straße - Markt",Spaziergang Kamenz,800,2023
2023-01-23,Schauburg (Ottokarplatz) - Stadtring entgegen der Fahrtrichtung (auf Fußweg) - Ludwigstraße . Albertstraße - Reichenberger Straße - Rathausplatz - Markt,Diskussion über den Zustand der Gesellschaft und Aufruf zum gesellschaftlichem Zusammenhalt,400,2023
2023-01-23,"Augustusplatz, Gewandhausseite, Mendebrunnen (Sammlung & Auftakt) - Augustusplatz (Mittelfahrbahn) - Augustusplatz (Innenring) - Roßplatz (Innenring) - Martin-Luther-Ring (Innenring) - Dittrichring (Innenring) - Goerdelerring (Innenring) - Tröndlinring (Innenring) - Willy-Brandt-Platz (Innenring) - Goethestraße (Innenring) - Augustusplatz (Mittelfahrbahn) - Augustusplatz, Gewandhausseite, Mendebrunnen (Abschluss & Beendigung)","LEIPZIG STEHT AUF für Frieden, Freiheit und Demokratie! Sofort Nord Stream 2 öffnen!“",3000,2023
2023-01-23,"Augustusplatz, Gewandhausseite, Mendebrunnen (Sammlung & Auftakt) - Augustusplatz (Mittelfahrbahn) - Augustusplatz (Innenring) - Roßplatz (Innenring) - Martin-Luther-Ring (Innenring) - Dittrichring (Innenring) - Goerdelerring (Innenring) - Tröndlinring (Innenring) - Willy-Brandt-Platz (Innenring) - Goethestraße (Innenring) - Augustusplatz (Mittelfahrbahn) - Augustusplatz, Gewandhausseite, Mendebrunnen (Abschluss & Beendigung)","LEIPZIG STEHT AUF für Frieden, Freiheit und Demokratie! Sofort Nord Stream 2 öffnen!“",3000,2023
2023-01-23,"Augustusplatz, Gewandhausseite - Innenstadtring (Innenring) im Uhrzeigersinn - Goethestraße - Augustusplatz, Gewandhausseite ",Frieden und Freiheit für Alle,200,2023
2023-01-23,Markt - Unterer Kirchplatz - Große Kirchgasse - Lindenstr. - Wolkensteiner Straße,"Demokratie, Grundrechte und Freiheit",300,2023
2023-01-23,Marktplatz - Untere Hauptstrasse -Kammerad Beck Str. - Alte Staatsstraße - Dr. Otto-Nuschke-Str.-Kurze Str. Untere Hauptstr.-Windbergstraße.- August- Bebel - Meinertstraße - Walther-Rathenau. St. - Kammerrat- Beck - Str. - Markt,"Demo für Freiheit, Grundrechte und wahre Demokratie, Freies Mikrofon",500,2023
2023-01-23,Marktplatz - Schillerstraße - Lessingstraße - Markt,"Corona-Maßnahmen, Energiepolitik, Asylpolitik, Sanktionen gegen Russland, Frieden und Selbstbestimmung, steigende Inflation, Gasumlage, Treibbstoffpreise, Gesundheitswesen",150,2023
2023-01-23,Altmarkt – Rathaus – Göltzschtalstraße – Schloß – Altmarkt,"Frieden, Freiheit und Gerechtigkeit! Gegen die Energiekosten der Politik",500,2023
2023-01-23,kleiner Willy-Brandt-Platz,"""Tag des Widerstands - für eine lebenswerte Zukunft international! Aktiv gegen die Weltkriegsgefahr - wir zahlen nicht für eure Kriege!""",10,2023
2023-01-23,Kreuzung Pestalozzi-/Sidoninsttr. Hauptstraße-Meißner Str.-Schumann Str.-Pestalozistr.,"Energiepreise, Existenzbedrohung",500,2023
2023-01-25,Hauptmarkt,Wir müssen reden! - offener Diskurs,250,2023
2023-01-27,Akademiestr/Hasenber-Terrassenufer-Augustusbrücke-Goldener Reiter-Albertplatz-Schlesischer Platz,Gedenken an die Opfer des Holocaust - Widerstand sichtbar machen,150,2023
2023-01-27,Oberlandkreuzung Südseite,"Kritik staatlicher Maßnahmen (Corona, Energiepolotik)",20,2023
2023-01-27,Washingtonstr. Ecke Lommatzscher Str. ,Stoppt den fossilen Wahnsinn!,30,2023
2023-01-28,"Augustusplatz, Gewandhausseite- Grimmaische Straße - Reichsstraße - Brühl - Katharinenstraße - Markt  - Petersstraße - Schillerstraße - Neumarkt - Grimmaische Straße - Augustusplatz, Gewandhausseite ",Für Frieden und eine freie Impfentscheidung für Alle,100,2023
2023-01-28,"Augustusplatz, Gewandhausseite- Grimmaische Straße - Reichsstraße - Brühl - Katharinenstraße - Markt  - Petersstraße - Schillerstraße - Neumarkt - Grimmaische Straße - Augustusplatz, Gewandhausseite ",Für Frieden und eine freie Impfentscheidung für Alle,100,2023
2023-01-29,"an der B6 in Görlitz, zwischen Wiesbadener Straße und dem Abzweig Flugplatz (am Radweg)","Für Frieden, Freiheit, Grund- und Menschenrechte!",50,2023
2023-01-29,Bushaltestelle an der B 96,Stiller Protest gegen Coronamaßnahmen,100,2023
2023-01-30,Hauptmarkt-Marienplatz-Hauptmarkt,Grundrechte sind nicht Verhandelbar,300,2023
2023-01-30,Hauptmarkt,Wir müssen reden! - offener Diskurs,250,2023
2023-01-30,Altmarkt-Lange Str-Rudolf-Breitscheid-An den Anlagen-Brühl-Schillerplatz-Johannisstr-Wiesenstr-Johannisstr-Gartenstr--Langestr-Altmarkt-,Frieden-Freiheit-Souveränität! Ampel ausschalten!,100,2023
2023-01-30,"Markt - Bautzner Straße - Breite Straße - Uferstraße - Fichtestraße - Hohe Straße - Oststraße -
Bahnhofstraße - Bönischplatz - Pulsnitzer Straße - Rosa-Luxemburg-Straße - Markt",Spaziergang Kamenz,800,2023
2023-01-30,Schauburg (Ottokarplatz) - Stadtring entgegen der Fahrtrichtung (auf Fußweg) - Ludwigstraße . Albertstraße - Reichenberger Straße - Rathausplatz - Markt,Diskussion über den Zustand der Gesellschaft und Aufruf zum gesellschaftlichem Zusammenhalt,400,2023
2023-01-30,"Augustusplatz, Gewandhausseite, Mendebrunnen (Sammlung & Auftakt) - Augustusplatz (Mittelfahrbahn) - Augustusplatz (Innenring) - Roßplatz (Innenring) - Martin-Luther-Ring (Innenring) - Dittrichring (Innenring) - Goerdelerring (Innenring) - Tröndlinring (Innenring) - Willy-Brandt-Platz (Innenring) - Goethestraße (Innenring) - Augustusplatz (Mittelfahrbahn) - Augustusplatz, Gewandhausseite, Mendebrunnen (Abschluss & Beendigung)","LEIPZIG STEHT AUF für Frieden, Freiheit und Demokratie! Sofort Nord Stream 2 öffnen!“",3000,2023
2023-01-30,"Augustusplatz, Gewandhausseite, Mendebrunnen (Sammlung & Auftakt) - Augustusplatz (Mittelfahrbahn) - Augustusplatz (Innenring) - Roßplatz (Innenring) - Martin-Luther-Ring (Innenring) - Dittrichring (Innenring) - Goerdelerring (Innenring) - Tröndlinring (Innenring) - Willy-Brandt-Platz (Innenring) - Goethestraße (Innenring) - Augustusplatz (Mittelfahrbahn) - Augustusplatz, Gewandhausseite, Mendebrunnen (Abschluss & Beendigung)","LEIPZIG STEHT AUF für Frieden, Freiheit und Demokratie! Sofort Nord Stream 2 öffnen!“",3000,2023
2023-01-30,gesamter Innenstadtring,Leipzig strahlt für Demokratie und Menschenrechte,10000,2023
2023-01-30,Markt - Unterer Kirchplatz - Große Kirchgasse - Lindenstr. - Wolkensteiner Straße,"Demokratie, Grundrechte und Freiheit",300,2023
2023-01-30, Marktplatz - Untere Hauptstrasse -Kamerad Beck Str - Alte Staatstraße  - August Bebel Straße - Gabelsbergerstr- Robert Schumann Str.- Franz Schubert Str. Gabelsbergerstr. - Hedwigschachtstr. -Glückaufstraße- Gartenstrsße-Lutherstraße-Kirchplatz- Markt,"Demo für Freiheit, Grundrechte und wahre Demokratie, Freies Mikrofon",500,2023
2023-01-30,Marktplatz - Schillerstraße - Lessingstraße - Markt,"Corona-Maßnahmen, Energiepolitik, Asylpolitik, Sanktionen gegen Russland, Frieden und Selbstbestimmung, steigende Inflation, Gasumlage, Treibbstoffpreise, Gesundheitswesen",150,2023
2023-01-30,Altmarkt – Rathaus – Göltzschtalstraße – Schloß – Altmarkt,"Frieden, Freiheit und Gerechtigkeit! Gegen die Energiekosten der Politik",500,2023
2023-01-30,"Augustusplatz, Gewandhausseite - Innenstadtring (Innenring) im Uhrzeigersinn - Goethestraße - Augustusplatz, Gewandhausseite ",Frieden und Freiheit für Alle,200,2023
2023-01-30,"Marktplatz, Dresdener Str., Lindenallee
Radeberger Str.,Heinrich - Zille- Str.
Großenhainer Str., Großenhainer Platz,Carolinen Str.
Meißner Str. und wieder Marktplatz",Gegen die komplette Politik der Ampelregierung,600,2023
2023-01-30,gesamter Innenstadtring (Innenring und Außenring),Leipzig strahlt für Demokratie und Menschenrechte,10000,2023
2023-01-30,Kreuzung Pestalozzi-/Sidoninsttr. Hauptstraße-Meißner Str.-Schumann Str.-Pestalozistr.,"Energiepreise, Existenzbedrohung",500,2023
2023-02-04,"Augustusplatz, Gewandhausseite- Grimmaische Straße - Reichsstraße - Brühl - Katharinenstraße - Markt  - Petersstraße - Schillerstraße - Neumarkt - Grimmaische Straße - Augustusplatz, Gewandhausseite ",Für Frieden und eine freie Impfentscheidung für Alle,100,2023
2023-02-05,"an der B6 in Görlitz, zwischen Wiesbadener Straße und dem Abzweig Flugplatz (am Radweg)","Für Frieden, Freiheit, Grund- und Menschenrechte!",50,2023
2023-02-05,Bushaltestelle an der B 96,Stiller Protest gegen Coronamaßnahmen,100,2023
2023-02-06,Hauptmarkt-Marienplatz-Hauptmarkt,Grundrechte sind nicht Verhandelbar,300,2023
2023-02-06,"Markt - Bautzner Straße - Breite Straße - Uferstraße - Fichtestraße - Hohe Straße - Oststraße -
Bahnhofstraße - Bönischplatz - Pulsnitzer Straße - Rosa-Luxemburg-Straße - Markt",Spaziergang Kamenz,800,2023
2023-02-06,"Augustusplatz, Gewandhausseite, Mendebrunnen  - Roßplatz - Martin-Luther-Ring - Dittrichring  - Goerdelerring  - Tröndlinring - Willy-Brandt-Platz - Goethestraße -Augustusplatz, Gewandhausseite, Mendebrunnen ","„LEIPZIG STEHT AUF für Frieden, Freiheit und Demokratie! Sofort Nord Stream 2 öffnen!“",500,2023
2023-02-06,"südöstlicher Gehweg Wilhelm-Seyfferth-Straße, Ecke Wächterstraße",Antirassismus-Aktion zur Freilassung des politischen Gefangenen Leonard Peltier in den USA,10,2023
2023-02-06,"Augustusplatz, Gewandhausseite - Innenstadtring (Innenring) im Uhrzeigersinn - Goethestraße - Augustusplatz, Gewandhausseite ",Frieden und Freiheit für Alle,200,2023
2023-02-06,"Augustusplatz, Opernseite, Demokratieglocke",Ihre Krise #NichtaufunseremRücken,25,2023
2023-02-06,kleiner Willy-Brandt-Platz,"""Tag des Widerstands - für eine lebenswerte Zukunft international! Aktiv gegen die Weltkriegsgefahr - wir zahlen nicht für eure Kriege!""",10,2023
2023-02-10,Bahnhof Neustadt,Dresden kein Ort für Nazis ,1000,2023
2023-02-10,Bahnhof Mitte,Dresden kein Ort für Nazis ,1000,2023
2023-02-10,Hauptbahnhof,Dresden kein Ort für Nazis ,1000,2023
2023-02-10,S Bahnhof Strehla,Dresden kein Ort für Nazis ,1000,2023
2023-02-10,Postplatz,Für Demokratie und Vielfalt - Klare Kante gegen Rechts!,20,2023
2023-02-10,Reichenbachstr. Ecke Fritz Löffler Str.,Dresden kein Ort für Nazis ,1000,2023
2023-02-10,S-Bahnhof Freiberger Str/Kreuzung Ammonstraße ,Dresden — kein Ort für Nazis!,1000,2023
2023-02-10,Halfepipe an der Lingnerallee,Dresden — kein Ort für Nazis!,1000,2023
2023-02-11,Bahnhof Mitte,Opferrolle überwinden. Täter*innen benennen,1000,2023
2023-02-11,Bahnhof Neustadt,Dresden kein Ort für Nazis ,1000,2023
2023-02-11,Bahnhof Mitte,Dresden kein Ort für Nazis ,1000,2023
2023-02-11,Hauptbahnhof,Dresden kein Ort für Nazis ,1000,2023
2023-02-11,S Bahnhof Strehla,Dresden kein Ort für Nazis ,1000,2023
2023-02-11,Postplatz,Für Demokratie und Vielfalt - Klare Kante gegen Rechts!,20,2023
2023-02-11,"Augustusplatz, Gewandhausseite- Grimmaische Straße - Reichsstraße - Brühl - Katharinenstraße - Markt  - Petersstraße - Schillerstraße - Neumarkt - Grimmaische Straße - Augustusplatz, Gewandhausseite ",Für Frieden und eine freie Impfentscheidung für Alle,100,2023
2023-02-12,Bahnhof Mitte,Opferrolle überwinden. Täter*innen benennen,1000,2023
2023-02-12,Bahnhof Neustadt,Dresden kein Ort für Nazis ,1000,2023
2023-02-12,Bahnhof Mitte,Dresden kein Ort für Nazis ,1000,2023
2023-02-12,Hauptbahnhof,Dresden kein Ort für Nazis ,1000,2023
2023-02-12,S Bahnhof Strehla,Dresden kein Ort für Nazis ,1000,2023
2023-02-12,Postplatz,Für Demokratie und Vielfalt - Klare Kante gegen Rechts!,20,2023
2023-02-12,"an der B6 in Görlitz, zwischen Wiesbadener Straße und dem Abzweig Flugplatz (am Radweg)","Für Frieden, Freiheit, Grund- und Menschenrechte!",50,2023
2023-02-12,Bushaltestelle an der B 96,Stiller Protest gegen Coronamaßnahmen,100,2023
2023-02-13,Hauptmarkt-Marienplatz-Hauptmarkt,Grundrechte sind nicht Verhandelbar,300,2023
2023-02-13,k. A.,Dresdner Friedenslauf,,2023
2023-02-13,"Parallele Versammlungen auf folgenden Plätzen: Altmarkt, Neumarkt, Theaterplatz, Schlossplatz, Postplatz",Opferrolle überwinden. Täter*innen benennen,750,2023
2023-02-13,Bahnhof Neustadt,Dresden kein Ort für Nazis ,1000,2023
2023-02-13,Bahnhof Mitte,Dresden kein Ort für Nazis ,1000,2023
2023-02-13,Hauptbahnhof,Dresden kein Ort für Nazis ,1000,2023
2023-02-13,S Bahnhof Strehla,Dresden kein Ort für Nazis ,1000,2023
2023-02-13,"Markt - Bautzner Straße - Breite Straße - Uferstraße - Fichtestraße - Hohe Straße - Oststraße -
Bahnhofstraße - Bönischplatz - Pulsnitzer Straße - Rosa-Luxemburg-Straße - Markt",Spaziergang Kamenz,800,2023
2023-02-13,Königsufer - Carolabrücke - Tschirnerplatz - Neumarkt - Frauenstr. - Postplatz - Theaterplatz - Schloßplatz - Augustusbrücke - Elberadweg - Königsufer,Menschenkette 13. Februar ,10000,2023
2023-02-13,Altmarkt zwischen Seestraße und Kreuzstraße ,Opferrolle überwinden. Täter*innen benennen,1000,2023
2023-02-13,Postplatz,Für Demokratie und Vielfalt - Klare Kante gegen Rechts!,20,2023
2023-02-13,"Augustusplatz, Gewandhausseite, Mendebrunnen  - Roßplatz - Martin-Luther-Ring - Dittrichring  - Goerdelerring  - Tröndlinring - Willy-Brandt-Platz - Goethestraße -Augustusplatz, Gewandhausseite, Mendebrunnen ","„LEIPZIG STEHT AUF für Frieden, Freiheit und Demokratie! Sofort Nord Stream 2 öffnen!“",500,2023
2023-02-13,Lingnerallee - Altmarkt,Gedenkspoaziergang zum 13. Februar 1945 zur Mahnung vor  Krieg,750,2023
2023-02-13,"Augustusplatz, Gewandhausseite - Innenstadtring (Innenring) im Uhrzeigersinn - Goethestraße - Augustusplatz, Gewandhausseite ",Frieden und Freiheit für Alle,200,2023
2023-02-15,Hauptmarkt,Energiepreise,1000,2023
2023-02-17,Bahnhof Neustadt,Dresden kein Ort für Nazis ,1000,2023
2023-02-17,Bahnhof Mitte,Dresden kein Ort für Nazis ,1000,2023
2023-02-17,Hauptbahnhof,Dresden kein Ort für Nazis ,1000,2023
2023-02-17,S Bahnhof Strehla,Dresden kein Ort für Nazis ,1000,2023
2023-02-17,Postplatz,Für Demokratie und Vielfalt - Klare Kante gegen Rechts!,20,2023
2023-02-18,Bahnhof Mitte,Opferrolle überwinden. Täter*innen benennen,1000,2023
2023-02-18,Bahnhof Neustadt,Dresden kein Ort für Nazis ,1000,2023
2023-02-18,Bahnhof Mitte,Dresden kein Ort für Nazis ,1000,2023
2023-02-18,Hauptbahnhof,Dresden kein Ort für Nazis ,1000,2023
2023-02-18,S Bahnhof Strehla,Dresden kein Ort für Nazis ,1000,2023
2023-02-18,Postplatz,Für Demokratie und Vielfalt - Klare Kante gegen Rechts!,20,2023
2023-02-18,"Augustusplatz, Gewandhausseite- Grimmaische Straße - Reichsstraße - Brühl - Katharinenstraße - Markt  - Petersstraße - Schillerstraße - Neumarkt - Grimmaische Straße - Augustusplatz, Gewandhausseite ",Für Frieden und eine freie Impfentscheidung für Alle,100,2023
2023-02-18,"OT Lindhardt
Karl-Liebknecht-Straße, Denkmal Lindhardt
",Mahnwache „Trotz alledem! – Gedenken an die Ermordung Luxemburgs und Liebknechts“ ,20,2023
2023-02-19,Bahnhof Mitte,Opferrolle überwinden. Täter*innen benennen,1000,2023
2023-02-19,Bahnhof Neustadt,Dresden kein Ort für Nazis ,1000,2023
2023-02-19,Bahnhof Mitte,Dresden kein Ort für Nazis ,1000,2023
2023-02-19,Hauptbahnhof,Dresden kein Ort für Nazis ,1000,2023
2023-02-19,S Bahnhof Strehla,Dresden kein Ort für Nazis ,1000,2023
2023-02-19,Postplatz,Für Demokratie und Vielfalt - Klare Kante gegen Rechts!,20,2023
2023-02-19,"an der B6 in Görlitz, zwischen Wiesbadener Straße und dem Abzweig Flugplatz (am Radweg)","Für Frieden, Freiheit, Grund- und Menschenrechte!",50,2023
2023-02-19,Bushaltestelle an der B 96,Stiller Protest gegen Coronamaßnahmen,100,2023
