date,hit_count,text_count
2005-11-24,1,1
2006-04-26,1,1
2006-06-06,1,1
2006-07-27,1,1
2006-08-02,1,1
2007-01-02,1,1
2007-02-28,1,1
2007-03-06,1,1
2007-06-06,1,1
2007-07-04,1,1
2007-07-09,1,1
2007-07-17,1,1
2007-10-13,1,1
2007-11-13,1,1
2008-03-19,1,1
2008-06-30,1,1
2008-10-01,1,1
2008-10-22,1,1
2009-05-27,1,1
2009-07-29,1,1
2009-08-05,1,1
2009-11-25,1,1
2009-12-18,1,1
2010-01-06,1,1
2010-02-08,1,1
2013-05-28,1,1
2013-11-06,1,1
2014-04-15,1,1
2015-04-23,1,1
2015-12-16,1,1
2017-07-12,1,1
2018-04-18,1,1
2018-06-07,1,1
2018-07-04,1,1
2018-07-26,1,1
2018-08-01,1,1
2018-08-07,1,1
2018-08-08,1,1
2018-08-09,1,1
2018-08-28,1,1
2018-09-10,1,1
2018-09-12,1,1
2018-09-19,1,1
2018-10-10,1,1
2018-11-19,1,1
2018-11-22,1,1
2018-12-03,2,2
2018-12-12,1,1
2018-12-15,1,1
2018-12-17,1,1
2018-12-19,1,1
2019-01-10,1,1
2019-01-23,1,1
2019-01-25,1,1
2019-01-28,1,1
2019-02-02,1,1
2019-02-18,1,1
2019-02-21,1,1
2019-02-23,1,1
2019-02-26,1,1
2019-03-02,1,1
2019-03-12,1,1
2019-03-20,1,1
2019-03-29,1,1
2019-04-03,1,1
2019-04-08,1,1
2019-04-24,1,1
2019-05-04,2,2
2019-05-07,2,2
2019-05-08,3,3
2019-05-13,1,1
2019-05-21,1,1
2019-05-23,1,1
2019-05-28,1,1
2019-06-01,1,1
2019-06-04,1,1
2019-06-05,3,3
2019-06-08,1,1
2019-06-11,2,2
2019-06-12,1,1
2019-06-15,1,1
2019-06-17,2,2
2019-06-18,1,1
2019-06-19,1,1
2019-06-20,1,1
2019-06-22,1,1
2019-06-24,1,1
2019-06-27,1,1
2019-07-01,1,1
2019-07-04,1,1
2019-07-05,1,1
2019-07-06,1,1
2019-07-09,1,1
2019-07-10,1,1
2019-07-30,1,1
2019-07-31,1,1
2019-08-06,1,1
2019-08-10,1,1
2019-08-13,1,1
2019-08-14,4,4
2019-08-15,4,4
2019-08-17,2,2
2019-08-19,2,2
2019-08-20,2,2
2019-08-21,1,1
2019-08-22,1,1
2019-08-23,1,1
2019-08-27,2,2
2019-08-28,1,1
2019-08-29,2,2
2019-09-02,1,1
2019-09-10,3,3
2019-09-11,1,1
2019-09-18,1,1
2019-09-19,2,2
2019-09-20,2,2
2019-09-21,1,1
2019-09-30,2,2
2019-10-05,2,2
2019-10-08,1,1
2019-10-17,1,1
2019-10-22,1,1
2019-10-24,1,1
2019-10-28,1,1
2019-11-01,1,1
2019-11-04,1,1
2019-11-08,1,1
2019-11-11,2,2
2019-11-13,1,1
2019-11-14,2,2
2019-11-18,1,1
2019-11-20,1,1
2019-11-22,2,2
2019-11-25,1,1
2019-11-27,1,1
2019-11-28,1,1
2019-11-29,2,2
2019-12-02,1,1
2019-12-04,1,1
2019-12-06,2,2
2019-12-09,1,1
2019-12-10,1,1
2019-12-11,1,1
2019-12-14,1,1
2019-12-17,1,1
2019-12-18,1,1
2019-12-19,1,1
2019-12-20,1,1
2019-12-23,1,1
2019-12-27,2,2
2019-12-31,1,1
2020-01-04,1,1
2020-01-17,1,1
2020-01-18,1,1
2020-01-20,1,1
2020-01-21,1,1
2020-01-22,2,2
2020-01-25,1,1
2020-02-03,1,1
2020-02-12,1,1
2020-02-15,1,1
2020-02-19,2,2
2020-02-22,1,1
2020-03-06,1,1
2020-03-12,1,1
2020-03-17,1,1
2020-04-03,1,1
2020-04-04,1,1
2020-04-14,1,1
2020-04-27,2,2
2020-04-28,1,1
2020-04-30,1,1
2020-05-02,1,1
2020-05-23,2,2
2020-05-30,1,1
2020-06-12,1,1
2020-07-11,1,1
2020-07-21,1,1
2020-07-24,1,1
2020-07-28,1,1
2020-08-01,1,1
2020-08-06,1,1
2020-08-21,1,1
2020-08-22,2,2
2020-08-25,3,3
2020-08-29,2,2
2020-09-05,1,1
2020-09-07,1,1
2020-09-12,1,1
2020-09-22,1,1
2020-09-25,2,2
2020-09-26,1,1
2020-10-02,1,1
2020-10-06,1,1
2020-10-13,1,1
2020-10-17,1,1
2020-10-22,1,1
2020-11-28,1,1
2020-12-01,1,1
2020-12-04,1,1
2020-12-05,1,1
2020-12-11,1,1
2020-12-18,1,1
2021-01-05,1,1
2021-01-21,1,1
2021-02-02,1,1
2021-02-03,1,1
2021-02-04,1,1
2021-02-05,1,1
2021-02-09,1,1
2021-02-13,2,2
2021-02-16,1,1
2021-02-19,1,1
2021-02-25,1,1
2021-02-27,1,1
2021-03-11,2,2
2021-03-12,1,1
2021-03-13,1,1
2021-03-15,1,1
2021-04-14,1,1
2021-04-15,1,1
2021-04-21,1,1
2021-04-22,3,3
2021-04-24,1,1
2021-04-29,1,1
2021-05-04,2,2
2021-05-06,1,1
2021-05-07,1,1
2021-05-14,1,1
2021-05-18,1,1
2021-05-20,1,1
2021-05-22,1,1
2021-05-25,1,1
2021-06-03,1,1
2021-06-08,1,1
2021-06-10,1,1
2021-06-11,1,1
2021-06-21,1,1
2021-06-25,1,1
2021-06-29,1,1
2021-06-30,1,1
2021-07-01,1,1
2021-07-05,1,1
2021-07-07,1,1
2021-07-08,1,1
2021-07-12,2,2
2021-07-15,1,1
2021-07-16,2,2
2021-07-17,7,7
2021-07-19,1,1
2021-07-27,1,1
2021-07-30,3,3
2021-08-02,1,1
2021-08-03,1,1
2021-08-04,1,1
2021-08-06,2,2
2021-08-07,1,1
2021-08-09,2,2
2021-08-10,2,2
2021-08-12,2,2
2021-08-13,1,1
2021-08-19,1,1
2021-08-21,2,2
2021-08-23,1,1
2021-08-24,1,1
2021-08-25,1,1
2021-09-06,1,1
2021-09-07,1,1
2021-09-11,3,3
2021-09-18,2,2
2021-09-20,2,2
2021-09-21,2,2
2021-09-22,1,1
2021-09-25,1,1
2021-09-30,2,2
2021-10-01,1,1
2021-10-02,2,2
2021-10-06,2,2
2021-10-11,1,1
2021-10-13,1,1
2021-10-18,2,2
2021-10-19,1,1
2021-10-20,1,1
2021-10-22,1,1
2021-10-23,1,1
2021-10-25,1,1
2021-10-28,2,2
2021-11-02,4,4
2021-11-03,1,1
2021-11-06,2,2
2021-11-08,1,1
2021-11-09,2,2
2021-11-12,1,1
2021-11-13,1,1
2021-11-15,1,1
2021-11-17,2,2
2021-11-20,2,2
2021-11-24,1,1
2021-11-25,1,1
2021-11-27,1,1
2021-12-08,1,1
2021-12-09,1,1
2021-12-11,1,1
2021-12-13,1,1
2021-12-17,1,1
2021-12-30,1,1
2022-01-04,2,2
2022-01-08,1,1
2022-01-10,3,3
2022-01-12,1,1
